	RDC_C	RDC_N
pp_233684	14.91178386	14.329615043333334
pp_89371	1.456608967	1.5350881676666666
pp_170033	1.2526696613333332	1.1673471426666666
pp_72915	242.2643313	280.16240146666667
pp_245095	24.71644561	25.740748336666666
pp_184818	0.9628067183333333	0.8975624086666667
pp_137771	0.5500417653333334	0.5115496823333333
pp_172528	45.11146507	43.38736686
pp_218767	1.5381403406666667	1.4562711503333334
pp_245838	3.4417006156666665	2.883949841
pp_209550	2.805373443666667	2.9741830616666665
pp_118840	3.872955228	3.606517658
pp_84443	22.5964141	21.61236077
pp_206420	0.8356253496666667	0.89364573
pp_223422	0.5092521233333334	0.5591474306666666
pp_197172	2.697176668	2.532223242
pp_131072	1.3543990603333333	1.283721624
pp_209056	0.06502711466666666	0.08052441666666667
pp_168517	5.209380132	5.010244808333333
pp_138150	3.390795649666667	3.5406587876666666
pp_142160	5.496185777333333	5.280335780666667
pp_216557	0.6451595253333333	0.5783347343333334
pp_245361	27.655370446666666	28.668676456666667
pp_168338	1.1842560536666666	1.249443223
pp_225041	0.7806850516666667	0.713116357
pp_182369	2.719187013	2.847970143
pp_117940	6.687729049333333	6.4337769106666665
pp_118045	17.56951314	16.514174798
pp_207890	10.431454913333333	10.061508975999999
pp_246367	1.0842099433333332	1.026465167
pp_238653	8.944743589333333	9.517968542
pp_177775	18.609511976666667	19.505507156666667
pp_135153	0.6771037953333333	0.6292477666666667
pp_179321	2.186943527	2.3440272633333334
pp_193121	8.531558009666666	8.204565894
pp_194684	0.9890986166666668	0.9110632036666666
pp_120569	1.3544145493333333	1.2460365156666666
pp_169786	8.609351429666667	8.206201668333334
pp_68760	2.2164067596666666	2.0600622466666665
pp_238688	16.849829496666665	16.225825773333334
pp_198012	3.695119457	3.9698958109999998
pp_76283	9.557801818	9.945159770666667
pp_205829	12.533078035666668	11.909354403333333
pp_87466	1.7052800493333333	1.793056287
pp_129105	1.4953701713333334	1.5810311276666666
pp_197408	5.281271815666667	5.516607908666667
pp_120391	9.776471983666667	10.275577043333334
pp_188424	4.079302479666667	4.261403576
pp_184733	9.197012514	9.569405203666667
pp_243175	28.728760613333332	30.19712665
pp_58576	1.8351047619999998	1.748935266
pp_89052	4.433957739	4.093307496333334
pp_213008	7.598277839666666	8.396129719666668
pp_252273	9.791761235666668	10.17871649
pp_202745	2.854768118	3.063265512666667
pp_211813	4.793913425	4.99605664
pp_137637	0.5196860273333334	0.567987278
pp_245433	2.701789649	2.5424651143333334
pp_120392	10.98417692	11.545510205
pp_148120	3.402308691	3.6106672686666665
pp_238556	0.698814259	0.7456894843333334
pp_72493	2.0860953626666667	1.9823765103333335
pp_57788	1.2386607973333332	1.3434116413333332
pp_97901	6.585642015333334	6.254378977666667
