	RDV_C	RDV_N
pp_118130	3.1143059743333334	3.0350894493333334
pp_162578	4.686650893333334	4.597623678333333
pp_86559	14.53220865	14.262795697
pp_96035	0.31655805066666665	0.33575261266666667
pp_156513	8.034283474666667	8.168059401666667
pp_97759	1.1856901523333332	1.1496187466666667
pp_141578	23.74477897	24.15847715
pp_92428	8.908262267333333	8.735213272666666
pp_213937	5.661501216333334	5.759512357666667
pp_179125	9.887503398	10.132967319999999
pp_74960	1.9512939266666667	1.7327261936666667
pp_124401	57.76940032333333	58.83686773
pp_158016	6.529431390666667	6.414795212333333
pp_189278	0.09357557066666666	0.08822005033333333
pp_214112	8.593826811666666	8.364699345
pp_197175	1.500579361	1.4373659406666666
pp_233629	15.26879342	14.993802633333333
pp_29067	119.70213713333334	121.76013253333333
pp_164308	5.559733128666666	5.463087965
pp_201140	17.840422596666667	18.16903080666667
pp_200105	4.777916757333333	4.617965717
pp_72490	3.8922337000000002	3.961416314
pp_67001	102.49825118	104.28447686
pp_234815	1.9976690236666668	1.9556464036666665
pp_218913	5.948623351	6.076016990333334
pp_124932	19.88447405	20.209127303333332
pp_145320	38.907521433333336	39.64357477
pp_202001	15.482262786666666	15.242918866666667
pp_213827	3.22983577	3.172981035
pp_174623	1.5179968596666666	1.453145695
pp_186960	0.05339303466666667	0.06100274633333333
pp_203868	1.958814132	2.0031814480000003
pp_225394	1.1937100936666667	1.1477848203333334
pp_155513	7.547559090666667	7.689648148
pp_154721	2.932590977333333	3.0140672
pp_235341	5.042807610333333	5.140955477333334
pp_158014	6.47571573	6.588763415666667
pp_128871	9.29329367	9.075210895333333
pp_173384	99.43457954666667	102.75082338666667
pp_134751	9.240358983	8.983965099
pp_96451	0.5378589043333333	0.5534816696666667
pp_136273	1.607596761	1.6509403013333332
pp_162767	11.8087704	12.231929025
pp_202235	48.343326786666665	47.58408711333333
pp_76407	7.165551067	7.022384819666667
pp_103976	450.4127597	457.26270643333334
pp_138280	8.483702990333333	8.620108734
pp_135389	83.04811606666667	84.55753999
pp_155280	2.374937800666667	2.4389376030000003
