	RM_C	RM_N
pp_81847	22.40600262	20.927593223333332
pp_56619	0.7901515823333334	1.0746077413333333
pp_186375	274.4524335	256.5927146
pp_195170	13.474963433333333	12.327870798666666
pp_94807	5.648940438	6.124454881
pp_210301	5.007866847333333	4.615883695
pp_246710	0.007217386333333333	0.016509811333333332
pp_57398	3.6021678726666666	3.2656838106666664
pp_199118	3.9398333673333332	3.6722093903333333
pp_165599	2.1359449136666666	1.9946477446666668
pp_220935	2.9101388116666667	3.1740384666666666
pp_247361	1.0463367536666666	0.9401152913333334
pp_89253	1.634087493	1.4871155596666665
pp_57925	12.604288096666668	13.597240037666667
pp_200057	61.97578267333333	67.69757429333333
pp_206034	1.4461637983333333	1.3363086123333334
pp_198312	10.867502019	11.578649623333334
pp_109208	13.757921903333333	14.699254368
pp_243721	9.874799804333334	9.317169901
pp_79202	16.57972354	17.598907439999998
pp_141477	11.924505202	9.843455044333332
pp_184208	11.04107827	11.687235347
pp_247666	0.261518291	0.229817662
pp_83152	0.5471248383333334	0.49008457433333336
pp_244900	4.075180849333333	4.332157041333334
pp_209642	211.1907505	197.28542646666665
pp_192280	3.8663682416666667	3.600707818666667
pp_180590	2.142339503	1.99295832
pp_86755	78.71201084666667	84.15697389
pp_137534	2.3049725616666668	2.134091628666667
pp_187208	3.9193457433333334	3.653033312
pp_179369	5.711495952	5.291580763333333
pp_136515	7.5055074343333334	7.050380487
pp_147930	1.6216875286666668	1.7635765596666666
pp_112453	0.9438392656666668	0.7712592296666667
pp_152007	3.9417026503333332	3.540722919333333
pp_152253	6.077895234333333	5.729343062666667
pp_91958	0.29231064933333334	0.330920699
pp_88555	2.0258575813333333	2.3743645423333333
pp_89427	33.531634313333335	31.518244963333334
pp_201635	4.9571873779999995	4.479404638
pp_119533	0.67657782	0.5814355886666667
pp_233460	4.452799021	4.055945306666667
pp_205256	4.342217017	4.081617872333333
pp_87971	1.8786865496666667	1.7227470773333333
pp_120922	1.165211778	1.282576537
pp_124959	1.7135389953333333	1.8342303463333334
pp_189417	5.810554988	5.380124368
pp_195405	10.669938671666667	11.329180931333333
pp_87398	7.856090641333334	6.988742805333333
pp_214113	3.2670281610000003	2.9227928333333333
pp_189183	1.9263437256666667	2.101973329333333
pp_214261	0.44275490733333334	0.5028998123333334
pp_161201	3.1772025063333333	2.9816382316666665
pp_117093	7.599205154333333	8.085884172
pp_104924	5.394284083333333	4.891629884666667
pp_195378	4.136724578333333	3.8607434923333335
pp_136264	3.5016617466666666	3.763091268
pp_123323	0.5355964693333333	0.6084731613333333
pp_94657	0.19992124866666666	0.17098116066666666
pp_184310	0.11682702133333334	0.09614590133333334
pp_110720	1.3503217986666667	1.52267823
pp_117009	2.69909321	3.0929314366666665
pp_110727	25.219801046666667	23.54049605666667
pp_136962	12.871422829333333	13.732777986666667
pp_129353	11.525972571666667	10.791842803666666
pp_100322	3.3196314813333334	3.096383245333333
pp_119644	15.51390451	16.520906553333333
pp_129542	3.086567984	3.3266940006666665
pp_220161	0.602687842	0.7924800756666667
pp_61648	3.229153456	3.5125946536666666
pp_154591	3.4836243513333334	3.725908154333333
pp_123605	6.904896139333333	7.447646313666667
pp_127050	10.657211486	10.008086401333333
pp_219743	72.29785255666667	68.18231691333332
pp_194325	1.8705025976666667	2.0047665136666666
pp_137506	58.458665526666664	62.7450417
pp_211080	1.73144406	1.8974770053333332
pp_91778	0.8381198089999999	0.7659414793333333
pp_128648	1.429406228	1.5809133786666667
pp_201103	5.799081237333334	6.196148527
pp_146722	35.67693124666667	33.705211766666665
pp_159257	4.199441169333333	4.465795581
pp_72629	6.237679918666666	5.815971758333333
pp_56729	8.454163207666667	6.974187776333333
pp_218574	8.866608938666666	8.244344504
pp_150477	3.325607724666667	2.8335698413333334
pp_144271	2.7644324116666668	2.574150602
pp_143713	2.309489590666667	2.484588262
pp_142160	6.853242696333333	6.442953898
pp_244524	17.6520575	18.71562585
pp_161022	33.59557250333333	35.5994328
pp_95933	0.026239057	0.016509811333333332
pp_237093	142.83524416666666	133.77708446
pp_226687	30.14963154333333	28.373411676666667
pp_85572	27.450870276666667	31.136004865
pp_224736	2.811728149	3.016185006
pp_142045	26.192938776666665	24.626211213333335
pp_107852	0.29551780266666666	0.36371776833333336
pp_246702	3.343801078666667	3.6626918833333333
pp_137535	2.6024181276666667	2.794977094
pp_141032	6.514697895333334	6.909166446666666
pp_171140	2.366239505	2.5542740173333334
pp_245245	1.5618746653333333	1.3584910849999998
pp_64317	1.624046801	1.4901517013333332
pp_134600	5.271205371333333	4.948178524666667
pp_233770	72.25489132999999	76.54266918333333
pp_203755	3.1388181283333334	2.866126731
pp_164053	1.928720005	2.162388117
