	RC_C	RC_N
pp_142451	4.545298707666666	0.6164615
pp_162085	0.35405866466666663	3.7884585176666667
pp_246330	0.7248356173333333	0.04250964966666667
pp_235464	0.063763655	3.9257747716666667
pp_161382	3.3824963776666666	0.340855154
pp_227257	0.156553433	0.0
pp_227483	6.783631521	1.8408078366666667
pp_215376	22.440352660000002	147.12559511999999
pp_180559	1.8236268643333333	0.07151864666666667
pp_155880	1.4578805043333334	0.05608754133333333
pp_96453	1.5267377423333333	6.3006150729999995
pp_154550	0.9316460213333333	0.010827903
pp_57432	0.24395093033333332	0.004255714
pp_184041	0.450666468	0.0
pp_235922	0.548082501	3.2166841076666666
pp_211567	0.433594888	0.03210647366666667
pp_219468	7.221524404	1.2868637633333333
pp_139981	0.9615762643333333	0.07350537733333333
pp_213047	0.18619403166666668	0.0
pp_57520	1.7438412553333333	0.19004315966666668
pp_59810	0.674001026	0.0354742
pp_214534	0.13507951966666668	0.0
pp_208859	0.2717366703333333	3.066841354666667
pp_243183	1.7053011226666668	0.113158053
pp_128995	2.126106382666667	0.09678268166666666
pp_227482	10.612988756666667	2.902519131
pp_227700	1.0796720406666667	0.132577839
pp_142384	1.9579561256666667	0.2690131963333333
pp_177597	0.913517103	0.04153563666666667
pp_193485	17.188329005333333	2.488686745
pp_61895	2.27283841	0.18289193766666667
pp_227698	1.1021459656666666	0.16601460066666668
pp_61896	1.9217311506666668	0.198035049
pp_215855	0.48801884100000004	0.012767142333333334
pp_154561	0.29905777533333333	0.0
pp_154553	0.30269743433333335	0.0
pp_192054	1.8572346476666668	0.017022856333333333
pp_57517	1.2279461446666666	0.105941595
pp_234838	0.14637631833333334	0.0
pp_57521	1.0622561826666665	0.022629819
pp_94161	0.20183583733333335	0.0
pp_147732	0.31726647566666666	0.028391259
pp_218013	0.313586926	0.0
pp_58257	0.36626129199999996	0.0
pp_195978	1.383169689	0.10305487366666667
pp_123602	0.8243847613333334	0.082857302
pp_227731	0.4329871003333334	0.09546118066666667
pp_94205	0.426239783	0.021655806
pp_155055	0.279048508	6.055447635
pp_149630	0.08472498833333333	0.0
pp_211566	0.403969032	0.04177613933333333
pp_244168	0.16436276666666666	0.0
pp_225438	1.4875773799999998	0.16171713633333332
pp_158159	0.07666054066666667	0.0
pp_161385	2.6323524099999998	0.3104981256666667
pp_227481	5.878949251666667	1.639396104
pp_201749	2.5822238813333334	0.010827903
pp_152845	0.220614445	2.058528851666667
pp_58880	0.237613614	0.010827903
pp_209431	0.009064459333333334	0.595263214
pp_78755	26.343243845	1.860599172
pp_57908	0.22360441466666667	0.0
pp_68906	1.7955488126666668	0.19433740733333332
pp_188154	15.626415377	3.2090140480000002
pp_152847	0.19644590866666667	1.99987233
pp_108426	0.9338022836666667	0.0
pp_179053	1.6279513296666666	15.439655026666667
pp_165597	1.159105253	0.066692686
pp_211940	1.1597801556666667	0.15625891
pp_198180	0.2894076423333333	0.019339331333333334
pp_108212	3.587234676	1.1625744230000001
pp_184040	0.26787206533333335	0.0
pp_227588	9.22475799	0.112003032
pp_155609	0.19652368099999998	0.0
pp_105320	9.861640013333332	0.5868195456666667
pp_161379	4.134358093666667	0.445231529
pp_199413	0.447434117	0.0
pp_94629	3.383699066	0.3492782036666667
pp_68489	3.0639106706666666	0.5237977993333334
pp_203535	0.004792205333333333	0.677620563
pp_236157	0.14674373500000001	0.0
pp_235467	0.025393493666666666	1.516399847333333
pp_68491	0.3650507356666667	0.010827903
pp_57911	0.5808012476666666	0.010827903
pp_118264	24.558722351333333	4.218041708
pp_179051	1.557798076	25.61499158
pp_243186	1.7780491133333336	0.177216523
pp_168383	0.28799329333333334	0.013577891333333333
pp_143537	0.218924853	0.0
pp_224526	0.160945702	0.004525963666666666
pp_168471	0.4118487666666667	0.0
pp_94159	0.3812705026666666	0.0
pp_89822	1.0676853193333333	0.040995137333333334
pp_236153	0.16500003966666668	0.0
pp_219469	6.279170633666666	1.205191059
pp_128875	1.877660288	0.498486273
pp_85250	2.959004369	0.459579282
pp_112427	20.269611573333336	5.639822855666667
pp_66144	0.21740489066666668	0.010827903
pp_97641	0.4873168696666667	0.0054139516666666665
pp_73239	7.6395208089999995	0.23340226333333333
pp_64575	1.5556927943333334	0.053685041333333336
pp_161381	2.1490503283333333	0.287113835
pp_85352	1.2003628956666668	0.09713016966666667
pp_203534	0.012176795666666667	1.1576429769999999
pp_235921	0.8554142443333332	4.153165067333333
pp_65727	0.5716492933333334	0.05341479133333333
pp_95292	0.3391252416666667	0.040617901666666664
pp_187031	0.214622431	1.4306964153333335
pp_236160	0.138679287	0.0
pp_145485	0.44630334266666666	0.04417863933333333
pp_108799	3.8698188066666668	13.668882918
pp_60492	0.04663474833333334	1.9300777283333335
pp_145488	0.14398407233333332	0.004255714
pp_74752	0.5608821683333334	0.13395561833333333
pp_35029	0.0	4.320713862333333
pp_206115	0.144158721	0.0
pp_168617	2.1217479606666667	0.5712791006666667
pp_115049	0.12066301266666667	0.0
pp_68494	0.9407795153333334	0.11706627866666666
pp_220852	2.993145595	1.0729277443333334
pp_200678	0.0	1.8569472326666665
pp_243185	1.6189586120000001	0.11945999233333332
pp_205935	0.14272625366666666	0.0
pp_148628	0.173827162	4.211974430333333
pp_73953	0.025393493666666666	2.018309613
pp_179057	1.694812237	17.903890676666666
pp_114027	0.620709149	0.04773059
pp_109070	0.12573513933333333	0.0
pp_73641	2.161741107666667	0.30133364166666665
pp_189114	0.395127167	0.027850759333333332
pp_193025	3.0104176946666668	0.47261024100000004
pp_153119	0.22514918466666667	2.0141529416666666
pp_79837	0.9238524156666666	0.24404037166666667
pp_59874	0.30962175166666667	0.038948912
pp_155816	0.788391762	0.038678662333333336
pp_208854	1.7963504049999999	23.507679086333333
pp_103052	0.18954137866666668	7.6924674983333325
pp_227265	0.21029285033333334	0.009051927666666666
pp_189115	0.42906516866666666	0.025534284666666667
pp_98569	0.11857549466666667	1.6556302046666667
pp_205937	0.17523178733333333	0.0
pp_68490	1.6481080613333334	0.26906947433333334
pp_222628	0.0	0.5810935936666667
pp_243184	1.6676255613333335	0.11172956566666667
pp_203622	2.153797719	0.09241998166666666
pp_205934	0.10790088466666667	0.0
pp_155815	1.6420818846666667	0.11458654
